AG	200	200	142	160	224	232	164	164	137	146	201	211	134	140	97	103	154	160	263	265	375	379	112	114	200	204	267	273	239	243
AM	200	200	147	158	224	232	164	164	137	139	205	211	130	140	103	103	160	160	259	265	379	379	92	102	204	210	271	273	243	247
ANA2	196	200	142	158	224	226	162	164	137	146	205	211	130	134	87	97	160	160	263	265	379	379	98	112	202	206	267	271	239	243
AR	200	206	147	160	226	232	164	164	137	146	201	205	136	140	103	103	154	160	259	263	377	379	102	114	200	210	267	273	239	243
BA	196	200	147	147	224	232	162	174	137	139	205	211	124	140	97	103	152	154	265	267	379	379	112	114	200	210	271	273	239	243
BAB	194	200	142	147	224	230	174	174	137	139	203	211	130	140	83	97	154	156	265	265	379	379	112	112	202	210	271	273	243	247
BE	200	200	142	142	226	230	164	164	131	139	205	211	130	134	97	103	154	160	259	267	367	379	112	112	200	202	267	271	243	243
BER	200	200	142	145	224	230	170	174	139	141	211	211	126	130	87	97	154	156	263	265	375	379	98	112	200	210	261	271	243	245
BLCO	200	200	147	160	230	232	168	174	137	137	205	211	124	134	97	97	152	154	263	267	379	379	108	114	200	204	267	271	239	243
BLK	194	200	142	145	224	230	168	174	139	139	203	211	130	134	83	103	154	156	263	265	379	379	112	112	202	210	267	271	243	247
BM	200	200	142	142	224	224	162	174	137	141	211	211	130	136	87	97	152	162	263	267	367	379	112	112	204	210	267	271	239	245
BR	200	200	142	145	224	224	174	174	141	141	201	211	126	130	97	97	154	162	263	265	367	379	98	112	204	210	267	271	239	245
BS	200	200	142	142	226	232	162	164	137	139	205	211	134	136	97	103	154	156	265	267	367	375	112	112	200	202	267	271	243	243
CO	200	200	142	142	226	226	164	168	141	146	211	211	126	140	87	103	160	160	259	267	367	379	112	112	204	204	267	273	245	247
DA	200	200	142	142	224	226	164	170	141	141	211	211	130	140	97	103	156	160	259	265	375	379	112	112	204	210	271	273	229	247
DB	200	206	142	160	224	230	164	164	139	143	205	211	134	138	97	101	156	160	263	263	375	379	108	112	200	210	261	267	229	243
DD	206	206	142	142	224	224	164	170	141	143	211	211	138	140	83	97	156	156	263	265	375	379	112	112	204	210	261	273	229	239
DI	200	206	142	142	224	224	164	164	141	143	205	211	130	138	87	97	156	160	259	263	375	379	112	112	206	210	261	271	229	243
DN	200	200	142	160	224	224	164	170	141	143	211	211	124	134	101	103	154	160	263	263	379	379	106	112	206	210	267	273	243	243
DNG	200	200	160	160	224	230	164	168	137	143	205	211	126	138	101	101	154	156	263	265	367	375	108	108	200	204	261	271	243	243
ER	200	206	147	160	224	224	162	174	137	141	201	211	124	124	97	103	152	154	263	267	379	379	112	114	200	206	271	273	243	243
FE	194	200	138	142	224	230	164	168	137	139	211	211	130	130	103	103	154	154	259	265	375	379	102	112	200	204	261	271	243	247
FELC	194	200	138	142	224	230	164	164	137	141	205	211	130	140	87	103	154	154	259	265	375	379	102	112	200	204	271	273	243	243
FI	200	200	138	142	224	230	164	168	139	141	211	211	130	140	103	103	154	160	259	265	379	379	102	112	200	200	261	273	243	243
FLP	200	200	138	142	230	230	168	174	137	139	211	211	130	134	103	103	154	156	265	265	375	379	102	112	202	204	267	271	243	247
FRD	194	200	138	142	224	226	168	168	139	146	211	211	130	140	87	103	154	160	259	267	367	375	102	112	200	204	271	273	243	247
FS	194	200	138	138	224	224	164	164	131	137	205	211	124	130	87	103	154	160	259	259	375	379	102	112	200	204	261	273	243	247
GA	200	200	147	147	224	232	162	170	139	143	205	205	126	140	97	103	156	160	259	263	367	367	112	114	200	202	271	273	243	243
GD-N	194	206	142	142	224	226	162	164	137	141	211	211	130	130	87	103	154	160	265	265	367	379	108	112	202	202	271	271	243	247
GH	200	200	142	147	230	232	164	170	139	139	205	211	134	140	103	103	154	160	263	267	375	379	112	114	202	202	271	273	243	243
GL	200	200	138	147	224	232	162	164	131	139	205	205	124	126	87	103	160	160	259	263	367	379	112	112	200	204	271	273	243	247
GOD	194	200	142	142	224	226	162	174	139	141	211	211	130	130	103	103	154	156	263	265	367	379	112	112	202	210	271	271	247	247
GU	200	200	142	147	224	224	162	164	139	146	205	211	126	126	97	103	156	160	259	263	367	367	92	112	202	206	261	273	229	243
HC	200	200	142	142	226	226	162	162	137	139	205	205	130	140	97	103	154	154	263	265	379	379	112	112	200	202	271	273	239	243
HE	200	200	142	142	224	226	162	174	137	139	205	211	130	140	97	101	154	160	263	265	367	379	112	112	200	200	271	273	239	243
HG	200	200	142	158	226	232	168	174	137	139	205	211	126	130	97	101	154	160	263	265	379	379	92	112	200	200	271	271	243	243
HO	200	200	142	142	224	224	162	174	123	137	211	211	130	136	87	101	152	154	265	267	367	379	112	112	200	204	267	271	239	243
HR	200	200	138	142	224	226	164	174	131	139	205	205	124	140	97	101	154	160	263	265	379	379	112	112	200	204	273	273	243	247
HVN	200	200	138	142	226	232	162	174	137	137	205	211	130	140	87	101	154	160	263	263	367	367	112	112	200	204	271	273	243	243
IC	200	200	142	142	226	232	162	164	137	141	211	211	126	140	87	87	154	160	265	267	367	379	112	112	204	204	267	273	245	245
IJ	200	200	142	142	226	226	164	164	141	141	201	205	140	140	87	97	154	154	265	265	379	379	98	112	204	204	273	273	243	245
IKY	198	198	142	142	226	226	164	164	137	141	211	211	126	140	97	103	160	162	259	263	379	379	112	112	204	204	267	273	245	247
IN	200	200	142	142	226	230	162	164	137	141	211	211	140	140	87	97	154	154	265	265	379	379	98	112	200	200	273	273	245	247
IV	200	200	142	142	226	230	164	164	131	141	205	211	130	140	87	103	154	160	259	265	379	379	112	112	200	204	271	273	243	247
IZ	198	200	142	158	226	232	162	162	137	141	201	211	136	140	87	97	154	162	263	265	379	379	98	112	200	204	267	273	243	245
JB	200	200	142	147	226	230	162	164	137	141	211	211	130	130	83	103	156	160	259	265	375	375	112	112	200	210	271	271	247	247
JR	200	200	142	142	224	230	164	170	139	143	211	211	130	138	87	97	154	156	263	263	375	375	112	112	200	210	261	271	243	247
JRB	194	200	142	158	230	232	164	170	137	139	205	211	130	130	97	103	160	160	259	265	375	379	102	112	200	210	271	271	247	247
JU	194	200	142	147	226	230	162	170	137	139	211	211	130	130	83	97	154	160	259	263	375	379	112	112	200	210	271	271	247	247
KA	194	200	142	142	226	226	164	170	137	137	211	211	130	140	87	87	154	160	265	267	379	379	108	112	200	200	271	273	243	243
KI-M2	194	206	140	160	224	224	164	164	137	146	201	211	136	138	87	103	152	160	267	267	379	379	92	92	204	206	261	261	239	243
KNA	194	200	140	142	224	224	164	170	141	146	211	211	130	136	87	103	152	154	263	267	379	379	92	106	206	206	261	271	239	243
KPA	194	194	142	142	224	226	164	164	137	141	211	211	130	130	87	97	156	160	265	267	379	379	112	112	200	210	271	271	229	243
MAG	200	206	142	142	224	226	164	168	137	141	205	211	126	130	87	103	154	160	259	265	367	367	108	112	204	206	267	271	243	247
MAO	200	200	138	142	224	232	164	168	131	141	205	211	130	130	87	97	160	160	259	265	379	379	98	112	200	200	273	273	239	243
MAR	200	200	138	160	230	232	168	168	137	141	205	211	126	136	97	97	154	160	265	265	367	375	98	108	202	206	267	271	243	243
MD-J	200	200	142	147	224	232	168	174	137	141	211	211	124	130	87	97	160	160	265	265	379	379	98	114	200	204	271	273	239	243
MEL	200	200	138	147	232	232	168	174	137	141	205	211	130	134	97	101	154	160	265	265	379	379	98	112	200	204	267	271	243	243
MO	200	200	138	145	224	232	164	164	141	141	201	211	130	136	97	103	160	160	265	265	375	379	98	98	202	202	267	271	243	245
MTR	200	200	138	142	224	224	164	164	131	137	205	205	140	140	97	101	152	160	259	267	379	379	98	112	200	202	273	273	243	247
MY-M2	200	206	142	147	224	230	164	168	137	137	205	205	130	140	101	103	152	154	265	267	367	379	98	108	202	206	271	273	243	243
NE	200	200	138	142	224	230	164	164	131	137	205	205	124	140	87	97	160	160	259	263	379	379	112	112	200	204	273	273	243	247
NI	200	206	138	160	224	224	162	168	137	141	201	205	124	136	103	103	154	160	259	263	367	379	112	112	204	206	267	273	243	243
NO	200	200	138	158	224	232	168	174	137	139	205	211	126	130	87	97	152	160	263	267	367	379	92	112	200	204	267	271	243	243
NR	200	200	138	160	230	232	168	168	137	137	205	205	126	134	97	101	154	154	263	265	367	379	108	112	204	206	267	271	243	243
NTV	200	200	142	160	224	226	164	168	137	141	205	211	124	140	103	103	160	160	263	267	379	379	102	112	200	204	273	273	243	247
NV	200	200	142	160	224	232	164	170	137	137	205	205	124	124	103	103	154	160	259	263	379	379	106	112	200	200	273	273	243	243
NY	200	200	138	160	224	232	164	168	137	137	205	205	124	126	97	103	154	160	263	263	367	379	102	112	200	204	271	273	243	243
OL-N	200	200	142	147	226	232	162	162	137	139	205	211	126	130	101	103	156	160	265	265	379	379	112	114	200	202	271	271	239	243
ORP	200	200	142	142	224	232	162	164	139	141	205	205	130	138	87	101	156	156	263	265	375	379	112	114	202	210	261	271	229	239
PB	200	206	147	158	224	226	162	170	137	141	201	211	130	134	103	103	156	160	259	259	379	379	98	112	202	206	267	271	243	247
PE	194	200	142	160	224	226	170	174	137	146	211	211	130	136	103	103	156	160	259	259	379	379	112	114	200	202	267	271	239	243
PL	194	200	142	147	224	226	162	170	137	137	205	211	130	130	103	103	154	156	259	265	367	379	112	112	200	202	271	271	239	247
PO	194	200	142	142	224	224	162	164	137	143	205	211	130	130	87	103	154	160	259	265	375	379	112	112	200	206	271	271	243	247
PTH	200	200	138	147	226	232	168	170	137	137	205	205	126	130	97	103	154	154	259	265	379	379	108	112	200	204	271	271	239	243
PTN	194	200	142	142	226	230	162	164	137	139	211	211	130	134	97	103	154	156	259	267	379	379	112	112	200	202	267	271	239	243
RB	200	200	142	142	224	226	162	164	137	141	205	211	130	130	87	103	154	160	259	263	379	379	112	112	202	204	271	271	239	243
RN-M2	194	200	140	142	224	230	162	168	137	141	205	211	130	138	103	103	154	154	259	265	379	379	92	108	200	206	261	271	243	243
RT-J	194	200	142	147	226	232	164	170	137	137	211	211	130	136	97	103	154	160	265	265	379	379	112	112	200	204	267	271	239	243
RUS	200	200	142	160	224	226	168	174	137	146	205	211	130	138	103	103	154	160	259	265	379	379	92	114	200	206	261	271	239	243
SA	200	200	142	147	226	226	162	170	139	141	205	211	124	130	87	87	160	160	259	267	379	379	112	112	200	210	271	273	243	243
SCO	200	200	142	147	224	226	164	170	141	141	211	211	124	124	87	103	154	160	259	267	379	379	106	112	200	210	271	271	243	243
SF	200	200	147	160	226	230	168	170	137	139	205	205	130	134	87	101	154	160	263	267	367	379	112	112	204	210	267	271	243	243
SLM	200	200	147	158	224	226	168	170	139	139	205	211	130	130	87	97	152	160	259	267	367	379	92	112	200	200	267	271	243	243
TCA	196	200	142	147	224	224	170	170	141	146	211	211	130	134	103	103	154	160	265	265	379	379	112	112	204	210	267	271	229	239
TH	196	200	142	142	224	224	164	170	137	141	205	211	124	130	103	103	154	160	259	263	379	379	92	106	200	206	271	273	243	243
TL	200	206	147	160	224	226	162	168	137	146	205	211	124	124	97	103	154	154	263	265	367	379	92	112	204	210	273	273	243	243
TLT	200	200	142	142	224	230	164	170	137	141	205	211	124	134	97	97	154	160	263	265	379	379	92	112	200	204	267	273	239	247
TN-M2	200	200	140	142	224	230	164	164	137	143	205	211	130	134	83	103	160	160	263	269	379	379	106	112	200	210	267	271	243	243
TO	196	200	142	147	224	224	168	170	139	146	211	211	124	130	103	103	154	160	259	263	379	379	92	112	210	210	271	273	243	243
TRN	200	200	140	142	230	230	164	164	131	137	205	211	130	134	97	103	154	160	263	267	379	379	112	112	202	210	267	271	243	243
TU	200	200	142	147	224	226	164	170	131	141	205	211	130	134	87	97	160	160	259	259	379	379	112	112	200	204	267	271	239	243
TZ	196	200	142	147	224	226	162	170	141	146	211	211	124	134	97	103	154	160	259	265	375	379	92	112	200	210	267	273	239	243
UR	194	200	142	147	226	226	162	174	141	141	211	211	124	130	97	103	154	156	265	265	379	379	112	112	200	200	271	273	239	243
URT	200	200	138	142	224	226	162	164	137	141	205	211	124	124	97	97	156	160	259	265	379	379	112	112	200	200	273	273	243	247
US	200	200	142	158	226	232	162	164	139	141	205	211	130	130	97	103	156	160	265	265	379	379	102	112	200	210	271	271	243	247
VD	194	200	138	147	226	232	164	170	141	143	211	211	124	130	87	103	154	160	259	263	375	379	110	112	206	210	271	273	243	247
VEN	194	200	138	138	226	232	168	170	137	143	205	211	126	130	101	103	154	160	259	265	367	379	110	112	204	206	271	271	243	247
VG	200	200	147	160	226	226	162	164	137	141	211	211	124	130	97	103	154	154	263	265	367	375	110	112	210	210	271	273	243	243
