ind1.id	ind2.id	dyad.type
BA	BAB	DO
BA	BLCO	DO
BR	BM	DO
BR	BER	DO
DB	DN	DO
DB	DNG	DO
FE	FELC	DO
FE	FRD	DO
FE	FLP	DO
GA	GH	DO
GD-N	GOD	DO
HE	HG	DO
HE	HVN	DO
IZ	IC	DO
IZ	IKY	DO
JU	JB	DO
JU	JRB	DO
KA	KPA	DO
KI-M2	KNA	DO
MD-J	MEL	DO
MD-J	MAO	DO
MO	MAR	DO
MY-M2	MTR	DO
MY-M2	MAG	DO
NY	NV	DO
NY	NTV	DO
OL-N	ORP	DO
PL	PTN	DO
PL	PTH	DO
RN-M2	RUS	DO
SA	SF	DO
SA	SCO	DO
SA	SLM	DO
TN-M2	TRN	DO
TZ	TCA	DO
TZ	TLT	DO
UR	US	DO
UR	URT	DO
VD	VG	DO
VD	VEN	DO
VN-J	VTR	DO
XI	XHI	DO
XI	XHT	DO
YA	YY	DO
YA	YNG	DO
ZU	ZMA	DO
ZU	ZLC	DO
BLK	BAB	SO
NR	BLCO	SO
HO	BM	SO
JR	BER	SO
TH	DN	SO
NR	DNG	SO
IV	FELC	SO
CO	FRD	SO
BLK	FLP	SO
BE	GH	SO
BLK	GOD	SO
NO	HG	SO
NO	HVN	SO
CO	IC	SO
CO	IKY	SO
DA	JB	SO
AM	JRB	SO
DA	KPA	SO
TH	KNA	SO
NR	MEL	SO
FS	MAO	SO
NR	MAR	SO
NE	MTR	SO
CO	MAG	SO
TH	NV	SO
CO	NTV	SO
DI	ORP	SO
BE	PTN	SO
NR	PTH	SO
PE	RUS	SO
NR	SF	SO
TH	SCO	SO
NO	SLM	SO
BE	TRN	SO
DA	TCA	SO
NE	TLT	SO
AM	US	SO
NE	URT	SO
TL	VG	SO
NR	VEN	SO
BLK	VTR	SO
PE	XHI	SO
BE	XHT	SO
DI	YY	SO
NR	YNG	SO
BE	ZMA	SO
PE	ZLC	SO
BA	BLK	DS
BA	NR	DS
BR	HO	DS
BR	JR	DS
DB	TH	DS
DB	NR	DS
FE	IV	DS
FE	CO	DS
FE	BLK	DS
GA	BE	DS
GD-N	BLK	DS
HE	NO	DS
HE	NO	DS
IZ	CO	DS
IZ	CO	DS
JU	DA	DS
JU	AM	DS
KA	DA	DS
KI-M2	TH	DS
MD-J	NR	DS
MD-J	FS	DS
MO	NR	DS
MY-M2	NE	DS
MY-M2	CO	DS
NY	TH	DS
NY	CO	DS
OL-N	DI	DS
PL	BE	DS
PL	NR	DS
RN-M2	PE	DS
SA	NR	DS
SA	TH	DS
SA	NO	DS
TN-M2	BE	DS
TZ	DA	DS
TZ	NE	DS
UR	AM	DS
UR	NE	DS
VD	TL	DS
VD	NR	DS
VN-J	BLK	DS
XI	PE	DS
XI	BE	DS
YA	DI	DS
YA	NR	DS
ZU	BE	DS
ZU	PE	DS
IC	IKY	FS
HG	HVN	FS
BAB	BLCO	MHS
BM	BER	MHS
DN	DNG	MHS
FELC	FLP	MHS
FELC	FRD	MHS
FRD	FLP	MHS
JB	JRB	MHS
MEL	MAO	MHS
MTR	MAG	MHS
NV	NTV	MHS
PTN	PTH	MHS
SF	SLM	MHS
SF	SCO	MHS
SCO	SLM	MHS
TCA	TLT	MHS
US	URT	MHS
VG	VEN	MHS
XHI	XHT	MHS
YY	YNG	MHS
ZMA	ZLC	MHS
NR	BLK	SS
HO	JR	SS
TH	NR	SS
IV	CO	SS
IV	BLK	SS
CO	BLK	SS
DA	AM	SS
NR	FS	SS
NE	CO	SS
TH	CO	SS
BE	NR	SS
NR	NO	SS
NR	TH	SS
NO	TH	SS
DA	NE	SS
AM	NE	SS
TL	NR	SS
PE	BE	SS
DI	NR	SS
BE	PE	SS
JRB	US	PHS
PTH	GH	PHS
TRN	GH	PHS
XHT	GH	PHS
ZMA	GH	PHS
TRN	PTN	PHS
XHT	PTN	PHS
ZMA	PTN	PHS
XHT	TRN	PHS
ZMA	TRN	PHS
ZMA	XHT	PHS
BAB	FLP	PHS
BAB	GOD	PHS
BAB	VTR	PHS
FLP	GOD	PHS
FLP	VTR	PHS
GOD	VTR	PHS
FRD	IC	PHS
FRD	IKY	PHS
FRD	MAG	PHS
FRD	NTV	PHS
IC	MAG	PHS
IC	NTV	PHS
IKY	MAG	PHS
IKY	NTV	PHS
MAG	NTV	PHS
JB	KPA	PHS
JB	TCA	PHS
KPA	TCA	PHS
ORP	YY	PHS
MTR	TLT	PHS
MTR	URT	PHS
TLT	URT	PHS
HG	SLM	PHS
HVN	SLM	PHS
BLCO	DNG	PHS
BLCO	MEL	PHS
BLCO	MAR	PHS
BLCO	PTH	PHS
BLCO	SF	PHS
BLCO	VEN	PHS
BLCO	YNG	PHS
DNG	MEL	PHS
DNG	MAR	PHS
DNG	PTH	PHS
DNG	SF	PHS
DNG	VEN	PHS
DNG	YNG	PHS
MEL	MAR	PHS
MEL	PTH	PHS
MEL	SF	PHS
MEL	VEN	PHS
MEL	YNG	PHS
MAR	PTH	PHS
MAR	SF	PHS
MAR	VEN	PHS
MAR	YNG	PHS
PTH	SF	PHS
PTH	VEN	PHS
PTH	YNG	PHS
SF	VEN	PHS
SF	YNG	PHS
VEN	YNG	PHS
RUS	XHI	PHS
RUS	ZLC	PHS
XHI	ZLC	PHS
