ind1.id	ind2.id	ind1.sex	ind2.sex	pair	mhc.dissimilarity
AG	AM	M	M	AG=AM	3
AG	ANA2	M	F	AG=ANA2	NA
AG	AR	M	F	AG=AR	NA
AG	BA	M	F	AG=BA	8
AG	BE	M	M	AG=BE	9
AG	BLK	M	M	AG=BLK	4
AG	BS	M	F	AG=BS	NA
AG	CO	M	M	AG=CO	10
AG	DA	M	M	AG=DA	8
AG	DD	M	F	AG=DD	NA
AG	DI	M	M	AG=DI	4
AG	ER	M	M	AG=ER	4
AG	FI	M	M	AG=FI	6
AG	FS	M	M	AG=FS	8
AG	GD-N	M	F	AG=GD-N	9
AG	GL	M	M	AG=GL	2
AG	HC	M	M	AG=HC	7
AG	HR	M	M	AG=HR	4
AG	IJ	M	M	AG=IJ	9
AG	IN	M	M	AG=IN	9
AG	IV	M	M	AG=IV	10
AG	MO	M	F	AG=MO	5
AG	NE	M	M	AG=NE	4
AG	NO	M	M	AG=NO	4
AG	NR	M	M	AG=NR	4
AG	OL-N	M	F	AG=OL-N	4
AG	PB	M	M	AG=PB	4
AG	PO	M	M	AG=PO	4
AG	RN-M2	M	F	AG=RN-M2	5
AG	RT-J	M	F	AG=RT-J	NA
AG	TH	M	M	AG=TH	5
AG	TL	M	M	AG=TL	6
AG	TO	M	M	AG=TO	6
AG	VN-J	M	F	AG=VN-J	2
AG	YN	M	M	AG=YN	6
AM	ANA2	M	F	AM=ANA2	NA
AM	AR	M	F	AM=AR	NA
AM	BA	M	F	AM=BA	5
AM	BLK	M	M	AM=BLK	7
AM	BS	M	F	AM=BS	NA
AM	DD	M	F	AM=DD	NA
AM	DI	M	M	AM=DI	3
AM	ER	M	M	AM=ER	7
AM	FI	M	M	AM=FI	7
AM	FS	M	M	AM=FS	5
AM	GD-N	M	F	AM=GD-N	10
AM	GL	M	M	AM=GL	5
AM	HC	M	M	AM=HC	8
AM	IV	M	M	AM=IV	7
AM	MO	M	F	AM=MO	8
AM	NO	M	M	AM=NO	3
AM	OL-N	M	F	AM=OL-N	7
AM	PO	M	M	AM=PO	7
AM	RN-M2	M	F	AM=RN-M2	8
AM	RT-J	M	F	AM=RT-J	NA
AM	TO	M	M	AM=TO	7
AM	VN-J	M	F	AM=VN-J	5
AM	YN	M	M	AM=YN	3
ANA2	AR	F	F	ANA2=AR	NA
ANA2	BA	F	F	ANA2=BA	NA
ANA2	BS	F	F	ANA2=BS	NA
ANA2	DD	F	F	ANA2=DD	NA
ANA2	ER	F	M	ANA2=ER	NA
ANA2	FI	F	M	ANA2=FI	NA
ANA2	FS	F	M	ANA2=FS	NA
ANA2	GD-N	F	F	ANA2=GD-N	NA
ANA2	GL	F	M	ANA2=GL	NA
ANA2	MO	F	F	ANA2=MO	NA
ANA2	OL-N	F	F	ANA2=OL-N	NA
ANA2	PO	F	M	ANA2=PO	NA
ANA2	RN-M2	F	F	ANA2=RN-M2	NA
