ID	MHC-0000001-C	MHC-0000002-C	MHC-0000003-C	MHC-0000004-C	MHC-0000005-C	MHC-0000006-C	MHC-0000007-C	MHC-0000008-C	MHC-0000009-C1	MHC-0000009-C2	MHC-0000011-C	MHC-0000012-C	MHC-0000013-C	MHC-0000014-C	MHC-0000015-C	MHC-0000016-C	MHC-0000017-C	MHC-0000018-C	MHC-0000019-C	MHC-0000020-C	MHC-0000021-C	MHC-0000022-C
BA	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BR	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DB	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FE	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GA	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
GD-N	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
HE	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
IZ	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0
JU	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
KA	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0
KI-M2	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
MD-J	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MO	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MY-M2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NY	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OL-N	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PL	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RN-M2	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
SA	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
TN-M2	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TZ	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
UR	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
VD	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
VN-J	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XI	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
YA	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ZU	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
