ID	MHC-0000001-C	MHC-0000002-C	MHC-0000003-C	MHC-0000004-C	MHC-0000005-C	MHC-0000006-C	MHC-0000007-C	MHC-0000008-C	MHC-0000009-C1	MHC-0000009-C2	MHC-0000011-C	MHC-0000012-C	MHC-0000013-C	MHC-0000014-C	MHC-0000015-C	MHC-0000016-C	MHC-0000017-C	MHC-0000018-C	MHC-0000019-C	MHC-0000020-C	MHC-0000021-C	MHC-0000022-C
AG	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
AM	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
BE	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
BLK	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
DA	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
DI	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ER	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FI	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FS	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GL	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
HC	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
HO	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HR	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
IJ	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
IN	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
IV	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
JR	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
NE	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NI	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NO	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PB	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
PO	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TH	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
TL	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TO	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TU	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
YN	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
