offspring	dam	sire	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
BLCO	BA	NR	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
BAB	BA	BLK	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BM	BR	HO	1	1	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
BER	BR	JR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
DN	DB	TH	1	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
DNG	DB	NR	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FELC	FE	IV	1	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
FRD	FE	CO	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
FLP	FE	BLK	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GH	GA	BE	1	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
GOD	GD-N	BLK	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HG	HE	NO	1	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
HVN	HE	NO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
IC	IZ	CO	1	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
IKY	IZ	CO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
JB	JU	DA	1	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
JRB	JU	AM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
KPA	KA	DA	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
KNA	KI-M2	TH	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	NA	1	NA
