ID	AG	AM	ANA2	AR	BA	BE	BLK	BR	BS	CO	DA	DB	DD	DI	ER	FE	FI	FS	GA	GD-N	GL	GU	HC	HE	HO	HR	IJ	IN	IV	IZ	JR	JU	KA	KI-M2	MD-J	MO	MY-M2	NE	NI	NO	NR	NY	OL-N	PB	PE	PL	PO	RB	RN-M2	RT-J	SA	TH	TL	TN-M2	TO	TU	TZ	UR	VD	VN-J	XI	YA	YN	ZU
AG	1	0.1343	0.0545	0.3603	-0.0423	0.0922	-0.2295	-9e-4	0.1549	0.0807	0.0443	0.1562	0.0065	-0.0924	0.0029	-0.0396	0.125	0.0029	-0.1268	-0.2765	-0.0826	-0.0766	0.006	0.103	0.0092	0.1322	0.2311	0.1924	0.12	0.0662	0.041	-0.3098	0.0095	0.0131	0.1314	0.1296	-0.1992	0.2081	0.0087	-0.1076	0.0557	0.2195	-0.1152	-0.3061	-0.0338	-0.2979	-0.1102	-0.0444	-0.2661	0.2183	-0.3327	-0.0235	0.0173	0.1819	-0.1327	0.0234	0.0868	-0.1423	-0.2535	-0.3326	0.1255	-0.3901	-0.1749	-0.184
AM	0.1343	1	0.0135	0.2818	0.1103	-0.0061	-0.116	-0.2712	-0.2324	0.0458	0.1191	-0.1748	-0.2967	-0.1092	-0.1882	0.1601	0.2961	0.2439	0.0603	-0.0658	0.2846	0.0098	-0.1177	-0.1792	-0.2891	0.0861	0.0235	-0.0771	0.246	-0.26	-0.2874	-0.09	-0.0659	0.0763	0.1929	0.1818	0.0717	0.2555	-0.0747	0.054	-0.1611	0.1634	0.1402	0.1564	-0.003	-0.0189	0.0439	0.1006	0.0145	0.1021	0.0368	0.2266	-0.0667	0.2919	0.2724	0.1025	-0.1532	-0.2515	0.0643	0.0273	-0.0594	-0.1245	-0.2399	0.0819
ANA2	0.0545	0.0135	1	-0.2118	-0.1775	0.0949	-0.0968	-0.0537	-0.037	-0.0249	-0.1434	-0.0354	-0.1997	0.1031	-0.1806	-0.3603	-0.2463	-0.2427	-0.2362	0.1899	-0.0794	-0.0736	0.1738	0.1059	0.0121	-0.0507	-0.0381	-0.0574	-0.0121	0.0691	-0.1815	-0.0686	0.1218	-0.0338	0.1957	0.1828	-0.0698	0.0974	-0.1737	0.034	-0.0466	-0.0776	0.1969	0.1536	0.0337	-0.0477	0.1536	0.3493	-0.1992	0.1558	0.1332	0.0433	-0.2249	0.2471	-0.0701	0.286	0.0142	-0.0823	-0.2491	-0.1292	0.0187	0.0017	-0.1023	-0.1184
AR	0.3603	0.2818	-0.2118	1	0.0196	-0.095	-0.4382	-0.406	-0.1552	-0.1262	-0.3617	-0.0383	-0.3299	-0.3149	-0.0569	-0.2124	-0.0039	-0.0013	0.0345	-0.4089	-0.0208	-0.1797	-0.048	-0.2788	-0.4935	-0.1073	0.0016	-0.1498	-0.0776	-0.1228	-0.4245	-0.3884	-0.1442	0.053900000000000003	-0.2745	-0.0717	-0.0127	0.0311	0.1146	-0.3435	-0.0956	0.1929	-0.1621	-0.044	0.0808	-0.2148	-0.3919	-0.2174	-0.1847	-0.0416	-0.1987	-0.0249	0.0665	0.046	-0.0693	-0.1568	-0.128	-0.2862	-0.0973	-0.2399	0.0606	-0.3056	-0.2806	0.2212
BA	-0.0423	0.1103	-0.1775	0.0196	1	-0.2415	-0.0532	-0.0711	-0.0579	-0.4077	-0.2818	-0.367	-0.2114	-0.4154	0.4622	-0.1817	-0.0187	-0.2549	0.1864	-0.2833	0.0238	-0.2065	0.202	0.1436	0.0497	0.1082	-0.0966	0.0732	-0.2289	-0.0204	-0.3034	-0.0867	-0.0605	-0.1454	0.2264	-0.2859	0.0926	-0.0889	-0.1291	0.0088	-0.0633	0.0198	0.2869	-0.1875	-0.1136	0.0514	-0.1875	-0.1869	-0.0313	0.1271	0.0527	-0.0416	0.2339	-0.2064	0.1982	-0.184	0.1322	0.2306	-0.193	-0.338	-0.1588	-0.2318	-0.1876	0.4024
BE	0.0922	-0.0061	0.0949	-0.095	-0.2415	1	0.1265	-0.1673	0.5907	0.2083	0.0812	0.1241	-0.2954	0.132	-0.2383	0.1233	0.2663	-0.0132	0.0754	0.1031	0.139	0.078	0.2939	0.2598	0.1045	0.1597	0.0767	0.0247	0.5149	-0.2567	0.1772	0.0819	0.1956	-0.2736	-0.2335	0.0118	0.032	0.2267	-0.1199	0.072	0.0376	0.0204	0.0481	-0.0569	0.0695	0.0502	0.178	0.3544	-0.0277	0.1213	0.2622	0.0779	-0.2222	0.3753	-0.0275	0.4145	-0.0768	0.0118	-0.1779	-0.0761	-0.1991	-0.0151	-0.2355	0.0994
BLK	-0.2295	-0.116	-0.0968	-0.4382	-0.0532	0.1265	1	0.0879	0.0661	-0.1856	-0.0318	0.0091	-0.006	-0.0975	-0.1238	0.2416	0.0986	-0.2924	-0.2308	0.1045	-0.2032	-0.1912	0.0936	0.0149	0.0502	-0.0066	-0.2155	-0.113	-0.0288	-0.2543	0.1785	0.2452	-0.1545	-0.3172	-0.1753	-0.1278	-0.1936	-0.2352	-0.1179	-0.0497	-0.009	-0.2496	0.0498	0.0037	0.0712	0.1076	0.0623	0.0627	0.0312	0.0059	-0.1048	-0.1506	-0.1646	0.093	0.2442	-0.1689	-0.2088	0.0653	-0.1755	-0.1935	-0.0974	0.1386	-0.1715	-0.0114
BR	-9e-4	-0.2712	-0.0537	-0.406	-0.0711	-0.1673	0.0879	1	-0.1696	-0.0099	0.1991	-0.1683	0.1028	0.0425	0.0653	-0.1692	-0.1834	-0.3282	-0.1801	-0.069	-0.251	0	-0.0719	0.1477	0.2658	-0.0287	0.1664	0.0454	-0.1546	0.118	0.0458	-0.0912	-0.3361	-0.2629	0.21560000000000001	0.2441	-0.2919	-0.2295	-0.0773	0.0922	-0.0281	-0.0985	-0.1752	-0.1738	-0.1641	-0.1241	-0.1228	0.0817	-0.1953	-0.0696	-0.2535	-0.155	-0.1185	-0.1898	-0.0924	0.0326	-0.0332	0.128	-0.289	-0.0369	-0.1958	-0.3923	-0.2267	-0.1806
BS	0.1549	-0.2324	-0.037	-0.1552	-0.0579	0.5907	0.0661	-0.1696	1	0.0085	0.0216	0.005	-0.1536	-0.044	-0.1847	0.0041	-0.0181	-0.2975	0.1765	0.1012	-0.0355	0.076	0.3936	0.3198	0.2708	-0.0105	0.0332	0.0694	0.0883	0.0403	0.2271	-0.0283	0.1436	-0.367	-0.2362	0.0099	0.0299	-0.1364	-0.0662	0.0698	0.1804	0.0729	0.2705	-0.177	-0.0492	0.1601	0.1172	0.1176	-0.0872	0.2367	0.0495	-0.1552	-0.0579	0.0325	-0.2464	-0.0564	-0.0121	0.114	-0.3121	-0.2584	-0.2515	-0.2205	-0.1147	0.041
CO	0.0807	0.0458	-0.0249	-0.1262	-0.4077	0.2083	-0.1856	-0.0099	0.0085	1	0.463	-0.2379	-0.0036	-0.0319	-0.3918	-0.0902	0.0861	-0.0559	-0.1979	0.0011	0.1216	0.0701	-0.0481	0.0146	0.0925	0.0919	0.3308	0.2277	0.4377	0.0395	-0.0659	-0.0192	0.1725	-0.1176	0.0433	-0.0691	-0.3571	0.1989	-0.0511	-0.0398	-0.2159	-0.1658	-0.1467	-0.0447	0.0625	-0.1446	-0.0944	0.2044	-0.3602	0.0566	0.2743	-0.1752	-0.139	-0.0638	-0.0667	0.3052	0.0519	0.0133	0.0192	0.1413	-0.2129	-0.1417	0.1172	-0.1039
DA	0.0443	0.1191	-0.1434	-0.3617	-0.2818	0.0812	-0.0318	0.1991	0.0216	0.463	1	-0.0921	0.4317	0.3734	-0.275	0.0796	0.1663	-0.0533	-0.2157	0.1678	-0.1302	-0.0154	0.0051	0.09	0.0629	0.0621	0.2947	0.2662	0.4632	-0.1187	0.29	0.2549	0.0577	-0.3478	0.1165	0.1172	-0.4017	0.085	-0.2133	-0.3384	-0.4249	-0.3406	-0.0478	0.0754	0.0841	0.1195	0.191	0.3069	-0.2367	0.1351	0.1688	0.0355	-0.2587	-0.0625	0.0941	0.3084	0.207	0.2821	0.1642	0.4118	-0.0843	-0.2515	0.2103	-0.0533
DB	0.1562	-0.1748	-0.0354	-0.0383	-0.367	0.1241	0.0091	-0.1683	0.005	-0.2379	-0.0921	1	0.3278	0.4787	-0.1831	-0.2285	-0.0733	-0.1268	-0.0795	-0.3201	-0.0916	0.0772	-0.2114	-0.0497	-0.2324	0.0469	-0.2178	-0.2084	-0.1532	-0.3177	0.4339	-0.1351	-0.2075	-0.0014	-0.3468	-0.1302	-0.1968	0.1229	-0.1769	-0.1147	-0.0113	0.0196	-0.289	-0.3517	-0.2806	-0.5098	-0.1754	-0.2336	-0.2571	-0.29	-0.213	-0.1537	-0.2233	0.3179	-0.1366	-0.0549	-0.2126	-0.3534	-0.2446	-0.1968	0.1	-0.0667	0.0106	-0.2958
DD	0.0065	-0.2967	-0.1997	-0.3299	-0.2114	-0.2954	-0.006	0.1028	-0.1536	-0.0036	0.4317	0.3278	1	0.5235	-0.1179	-0.1532	-0.1204	-0.1645	-0.2515	-0.0152	-0.3728	0.0064	-0.1899	-0.0545	0.0264	-0.0671	0.0556	0.0489	-0.0894	-0.1267	0.352	-0.0802	-0.1444	0.0268	-0.1143	-0.2023	-0.3167	-0.0822	-0.1594	-0.4094	-0.4295	-0.3588	-0.2986	-0.2057	-0.1484	-0.1573	-0.061	-0.1089	-0.3196	-0.059	-0.2787	-0.1399	-0.1058	-0.173	-0.0363	-0.1068	0.0303	0.0405	-0.1588	0.1189	0.3254	-0.0681	0.2962	-0.3042
DI	-0.0924	-0.1092	0.1031	-0.3149	-0.4154	0.132	-0.0975	0.0425	-0.044	-0.0319	0.3734	0.4787	0.5235	1	-0.1169	-0.1014	-0.0639	0.1065	-0.1219	0.0573	-0.0249	0.1926	-0.1518	-0.0397	4e-4	-0.056	-0.043	-0.1997	0.1583	-0.3649	0.4894	-0.0184	-0.0983	0.0508	-0.1682	-0.0285	-0.1862	0.1811	-0.0556	-0.1653	-0.2905	-0.1342	-0.2778	-0.1065	-0.1537	-0.1641	0.4177	0.3015	-0.1327	-0.2202	0.0584	0.1425	-0.323	0.2113	0.034	0.245	-0.2	-0.1876	0.0274	0.3478	0.107	0.0425	0.1426	-0.3403
