ID	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
BA	8	5	5	4	2	4	4	4	2	NA	6	10	5	0	8	5	5	NA	8	4	7	4	4	4	5	4	4	9	6	2	5	NA
BA.1	8	5	5	4	2	4	NA	4	2	0	6	NA	5	0	8	5	5	NA	8	4	7	4	4	4	5	4	4	9	6	2	5	2
BR	6	9	7	2	4	6	6	NA	4	NA	NA	4	NA	6	6	7	7	4	6	6	3	6	2	2	5	NA	2	7	0	NA	7	NA
BR.1	6	9	7	2	4	6	6	2	4	6	4	4	5	6	6	7	7	NA	6	6	3	6	2	2	5	2	2	7	0	4	7	NA
DB	4	7	5	4	6	4	4	NA	NA	NA	NA	2	NA	8	4	NA	9	6	4	4	1	4	4	4	7	NA	4	5	2	NA	9	NA
DB.1	4	7	5	4	6	4	NA	4	6	8	2	2	7	8	4	9	9	NA	4	4	1	4	4	4	7	4	4	5	2	6	9	6
FE	8	9	5	4	2	4	8	NA	NA	NA	NA	6	NA	4	8	NA	5	2	8	8	5	8	4	4	5	NA	4	9	2	NA	5	NA
FE.1	8	9	5	4	2	4	8	4	2	NA	NA	6	5	4	8	5	5	NA	8	8	5	8	4	4	5	NA	4	9	2	NA	5	NA
FE.2	8	9	5	4	2	4	NA	4	2	4	6	6	5	4	8	5	5	NA	8	8	5	8	4	4	5	4	4	9	2	2	5	6
GA	5	8	6	5	9	7	5	NA	NA	NA	NA	5	NA	9	1	NA	10	9	5	5	2	5	5	5	8	NA	5	6	5	NA	10	NA
GD.N	9	10	10	5	7	9	NA	5	3	5	7	11	6	5	9	4	4	NA	9	9	8	9	5	5	6	5	5	4	7	3	0	7
HE	7	8	8	3	7	9	7	NA	NA	NA	NA	9	NA	5	3	NA	6	7	7	7	6	7	3	3	4	NA	3	8	5	NA	6	NA
HE.1	7	8	8	3	7	9	7	3	3	5	5	9	0	5	3	6	6	NA	7	7	6	7	3	3	4	3	3	8	5	3	6	NA
IZ	9	10	6	9	9	7	9	NA	NA	NA	NA	7	NA	11	5	NA	8	9	9	9	6	9	9	9	10	NA	9	10	7	NA	12	NA
IZ.1	9	10	6	9	9	7	9	9	9	11	7	7	6	11	5	8	8	NA	9	9	6	9	9	9	10	9	9	10	7	9	12	NA
JU	8	9	9	4	6	8	8	NA	NA	NA	NA	10	NA	4	8	NA	5	6	4	8	7	8	4	4	5	NA	4	9	6	NA	5	NA
JU.1	8	9	9	4	6	8	8	4	2	4	6	10	5	4	8	5	5	NA	4	8	7	8	4	4	5	4	4	9	6	2	5	NA
KA	11	12	8	7	5	7	11	7	5	NA	NA	9	8	7	11	2	2	NA	11	11	8	11	7	7	8	NA	7	10	5	NA	6	NA
KI.M2	3	0	6	7	7	5	3	7	7	NA	NA	5	8	5	7	10	10	NA	7	3	6	3	7	7	4	NA	7	8	9	NA	10	NA
MD.J	6	9	7	2	4	6	6	NA	4	NA	NA	4	NA	6	6	7	7	NA	6	6	3	6	2	2	5	NA	2	7	0	NA	7	NA
MD.J.1	6	9	7	2	4	6	NA	2	4	6	4	NA	5	6	6	7	7	NA	6	6	3	6	2	2	5	2	2	7	0	4	7	8
MO	5	8	8	5	11	9	NA	5	7	9	3	7	4	9	1	8	8	NA	5	5	4	5	5	5	8	5	5	6	7	7	10	7
MY.M2	3	6	6	3	7	5	3	3	5	NA	NA	3	6	7	3	8	8	NA	3	3	0	3	3	3	6	NA	3	4	3	5	8	NA
MY.M2.1	3	6	6	3	7	5	NA	3	5	7	1	3	6	7	3	8	8	NA	3	3	0	3	3	3	6	3	3	4	3	5	8	5
NY	3	6	6	3	7	5	3	NA	NA	NA	NA	3	NA	7	3	NA	8	7	3	3	0	3	3	3	6	NA	3	4	3	NA	8	NA
NY.1	3	6	6	3	7	5	3	3	5	7	1	3	6	7	3	8	8	NA	3	3	0	3	3	3	6	3	3	4	3	5	8	NA
OL.N	4	7	9	0	6	8	4	0	2	4	2	6	3	4	4	5	5	NA	4	4	3	4	0	0	3	0	0	5	2	2	5	6
PL	6	9	7	2	4	6	6	2	4	NA	NA	4	5	6	6	7	7	NA	6	6	3	6	2	2	5	NA	2	7	0	4	7	NA
PL.1	6	9	7	2	4	6	NA	2	4	6	4	4	5	6	6	7	7	NA	6	6	3	6	2	2	5	2	2	7	0	4	7	8
RN.M2	5	8	10	5	11	9	NA	5	7	9	3	NA	8	9	5	8	8	NA	5	5	4	5	5	5	8	5	5	0	7	7	4	7
SA	4	7	9	6	10	8	6	NA	NA	NA	NA	4	NA	10	6	NA	11	10	6	6	3	6	6	6	7	NA	6	7	6	NA	11	NA
SA.1	4	7	9	6	10	8	6	6	8	10	4	4	9	10	6	11	11	NA	6	6	3	6	6	6	7	6	6	7	6	8	11	NA
SA.2	4	7	9	6	10	8	NA	6	8	10	4	4	9	10	6	11	11	NA	6	6	3	6	6	6	7	6	6	7	6	8	11	8
TN.M2	5	4	4	5	5	3	1	5	7	NA	NA	5	8	5	5	10	10	NA	5	1	2	1	5	5	8	NA	5	6	5	7	10	NA
TZ	10	11	9	6	6	8	10	6	4	NA	NA	10	7	6	10	5	5	NA	10	10	7	10	6	6	7	NA	6	5	6	4	NA	NA
TZ.1	10	11	9	6	6	8	NA	6	4	6	8	10	7	6	10	5	5	NA	10	10	7	10	6	6	7	6	6	5	6	4	NA	8
UR	4	7	5	4	6	4	4	NA	NA	NA	NA	2	NA	8	4	NA	9	6	4	4	1	4	4	4	7	NA	4	5	2	NA	9	NA
UR.1	4	7	5	4	6	4	4	4	6	8	2	2	7	8	4	9	9	NA	4	4	1	4	4	4	7	4	4	5	2	6	9	NA
VD	10	7	3	6	0	2	6	NA	NA	NA	NA	8	NA	2	10	NA	7	0	10	6	7	6	6	6	7	NA	6	11	4	NA	7	NA
VD.1	10	7	3	6	0	2	NA	6	4	2	8	8	7	2	10	7	7	NA	10	6	7	6	6	6	7	6	6	11	4	4	7	4
VN.J	2	5	7	2	8	6	2	2	4	6	0	4	5	6	2	7	7	NA	2	2	1	2	2	2	5	2	2	3	4	4	7	4
XI	1	4	8	5	9	7	5	NA	7	NA	NA	1	NA	9	5	10	10	NA	5	5	2	5	5	5	4	NA	5	6	5	NA	10	NA
XI.1	1	4	8	5	9	7	5	5	7	9	3	1	8	9	5	10	10	NA	5	5	2	5	5	5	4	5	5	6	5	7	10	7
YA	6	3	3	6	4	2	2	NA	4	NA	NA	8	NA	2	6	7	7	NA	6	2	5	2	6	6	7	NA	6	7	8	NA	7	NA
YA.1	6	3	3	6	4	2	2	6	4	2	4	8	7	2	6	7	7	NA	6	2	5	2	6	6	7	6	6	7	8	4	7	NA
ZU	6	9	7	2	4	6	6	2	4	NA	NA	4	5	6	6	7	7	NA	6	6	3	6	2	2	5	NA	2	7	0	4	7	NA
ZU.1	6	9	7	2	4	6	NA	2	4	6	4	4	5	6	6	7	7	NA	6	6	3	6	2	2	5	2	2	7	0	4	7	8
