ID	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
BA	5	6	6	5	7	5	5	5	3	NA	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	NA
BA.1	5	6	6	5	7	5	NA	5	3	5	3	NA	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	3
BR	5	6	6	5	7	5	5	NA	3	NA	NA	7	NA	5	5	6	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
BR.1	5	6	6	5	7	5	5	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	NA
DB	5	6	6	5	7	5	5	NA	NA	NA	NA	7	NA	5	5	NA	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
DB.1	5	6	6	5	7	5	NA	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	3
FE	5	6	6	5	7	5	5	NA	NA	NA	NA	7	NA	5	5	NA	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
FE.1	5	6	6	5	7	5	5	5	3	NA	NA	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
FE.2	5	6	6	5	7	5	NA	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	3
GA	5	6	6	5	7	5	5	NA	NA	NA	NA	7	NA	5	5	NA	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
GD.N	5	6	6	5	7	5	NA	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	3
HE	5	6	6	5	7	5	5	NA	NA	NA	NA	7	NA	5	5	NA	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
HE.1	5	6	6	5	7	5	5	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	NA
IZ	5	6	6	5	7	5	5	NA	NA	NA	NA	7	NA	5	5	NA	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
IZ.1	5	6	6	5	7	5	5	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	NA
JU	5	6	6	5	7	5	5	NA	NA	NA	NA	7	NA	5	5	NA	6	7	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
JU.1	5	6	6	5	7	5	5	5	3	5	3	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	5	5	6	7	3	6	NA
KA	5	6	6	5	7	5	5	5	3	NA	NA	7	6	5	5	6	6	NA	5	5	4	5	5	5	6	NA	5	6	7	NA	6	NA
