ID	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
BA	4	3	3	2	2	2	2	2	0	NA	2	6	3	0	4	3	3	NA	4	2	3	2	2	2	3	2	2	5	4	0	3	NA
BA.1	4	3	3	2	2	2	NA	2	0	0	2	NA	3	0	4	3	3	NA	4	2	3	2	2	2	3	2	2	5	4	0	3	0
BR	2	4	3	0	2	2	2	NA	0	NA	NA	2	NA	2	2	3	3	2	2	2	0	2	0	0	2	NA	0	3	0	NA	3	NA
BR.1	2	4	3	0	2	2	2	0	0	2	0	2	2	2	2	3	3	NA	2	2	0	2	0	0	2	0	0	3	0	0	3	NA
DB	2	4	3	2	4	2	2	NA	NA	NA	NA	2	NA	4	2	NA	5	4	2	2	0	2	2	2	4	NA	2	3	2	NA	5	NA
DB.1	2	4	3	2	4	2	NA	2	2	4	0	2	4	4	2	5	5	NA	2	2	0	2	2	2	4	2	2	3	2	2	5	2
FE	4	5	3	2	2	2	4	NA	NA	NA	NA	4	NA	2	4	NA	3	2	4	4	2	4	2	2	3	NA	2	5	2	NA	3	NA
FE.1	4	5	3	2	2	2	4	2	0	NA	NA	4	3	2	4	3	3	NA	4	4	2	4	2	2	3	NA	2	5	2	NA	3	NA
FE.2	4	5	3	2	2	2	NA	2	0	2	2	4	3	2	4	3	3	NA	4	4	2	4	2	2	3	2	2	5	2	0	3	2
GA	2	4	3	2	5	3	2	NA	NA	NA	NA	3	NA	4	0	NA	5	5	2	2	0	2	2	2	4	NA	2	3	3	NA	5	NA
GD.N	4	5	5	2	4	4	NA	2	0	2	2	6	3	2	4	2	2	NA	4	4	3	4	2	2	3	2	2	2	4	0	0	2
HE	3	4	4	1	4	4	3	NA	NA	NA	NA	5	NA	2	1	NA	3	4	3	3	2	3	1	1	2	NA	1	4	3	NA	3	NA
HE.1	3	4	4	1	4	4	3	1	0	2	1	5	0	2	1	3	3	NA	3	3	2	3	1	1	2	1	1	4	3	0	3	NA
IZ	3	4	2	3	4	2	3	NA	NA	NA	NA	3	NA	4	1	NA	3	4	3	3	1	3	3	3	4	NA	3	4	3	NA	5	NA
IZ.1	3	4	2	3	4	2	3	3	2	4	1	3	2	4	1	3	3	NA	3	3	1	3	3	3	4	3	3	4	3	2	5	NA
JU	4	5	5	2	4	4	4	NA	NA	NA	NA	6	NA	2	4	NA	3	4	2	4	3	4	2	2	3	NA	2	5	4	NA	3	NA
JU.1	4	5	5	2	4	4	4	2	0	2	2	6	3	2	4	3	3	NA	2	4	3	4	2	2	3	2	2	5	4	0	3	NA
KA	4	5	3	2	2	2	4	2	0	NA	NA	4	3	2	4	0	0	NA	4	4	2	4	2	2	3	NA	2	4	2	NA	2	NA
KI.M2	1	0	3	3	4	2	1	3	2	NA	NA	3	4	2	3	5	5	NA	3	1	2	1	3	3	2	NA	3	4	5	NA	5	NA
MD.J	2	4	3	0	2	2	2	NA	0	NA	NA	2	NA	2	2	3	3	NA	2	2	0	2	0	0	2	NA	0	3	0	NA	3	NA
MD.J.1	2	4	3	0	2	2	NA	0	0	2	0	NA	2	2	2	3	3	NA	2	2	0	2	0	0	2	0	0	3	0	0	3	2
MO	2	4	4	2	6	4	NA	2	2	4	0	4	2	4	0	4	4	NA	2	2	1	2	2	2	4	2	2	3	4	2	5	2
MY.M2	2	4	4	2	5	3	2	2	2	NA	NA	3	4	4	2	5	5	NA	2	2	0	2	2	2	4	NA	2	3	3	2	5	NA
MY.M2.1	2	4	4	2	5	3	NA	2	2	4	0	3	4	4	2	5	5	NA	2	2	0	2	2	2	4	2	2	3	3	2	5	2
NY	2	4	4	2	5	3	2	NA	NA	NA	NA	3	NA	4	2	NA	5	5	2	2	0	2	2	2	4	NA	2	3	3	NA	5	NA
NY.1	2	4	4	2	5	3	2	2	2	4	0	3	4	4	2	5	5	NA	2	2	0	2	2	2	4	2	2	3	3	2	5	NA
OL.N	2	4	5	0	4	4	2	0	0	2	0	4	2	2	2	3	3	NA	2	2	1	2	0	0	2	0	0	3	2	0	3	2
PL	2	4	3	0	2	2	2	0	0	NA	NA	2	2	2	2	3	3	NA	2	2	0	2	0	0	2	NA	0	3	0	0	3	NA
PL.1	2	4	3	0	2	2	NA	0	0	2	0	2	2	2	2	3	3	NA	2	2	0	2	0	0	2	0	0	3	0	0	3	2
RN.M2	2	4	5	2	6	4	NA	2	2	4	0	NA	4	4	2	4	4	NA	2	2	1	2	2	2	4	2	2	0	4	2	2	2
SA	1	3	4	2	5	3	2	NA	NA	NA	NA	2	NA	4	2	NA	5	5	2	2	0	2	2	2	3	NA	2	3	3	NA	5	NA
SA.1	1	3	4	2	5	3	2	2	2	4	0	2	4	4	2	5	5	NA	2	2	0	2	2	2	3	2	2	3	3	2	5	NA
SA.2	1	3	4	2	5	3	NA	2	2	4	0	2	4	4	2	5	5	NA	2	2	0	2	2	2	3	2	2	3	3	2	5	2
TN.M2	2	2	2	2	3	1	0	2	2	NA	NA	3	4	2	2	5	5	NA	2	0	0	0	2	2	4	NA	2	3	3	2	5	NA
TZ	4	5	4	2	3	3	4	2	0	NA	NA	5	3	2	4	2	2	NA	4	4	2	4	2	2	3	NA	2	2	3	0	NA	NA
TZ.1	4	5	4	2	3	3	NA	2	0	2	2	5	3	2	4	2	2	NA	4	4	2	4	2	2	3	2	2	2	3	0	NA	2
UR	2	4	3	2	4	2	2	NA	NA	NA	NA	2	NA	4	2	NA	5	4	2	2	0	2	2	2	4	NA	2	3	2	NA	5	NA
UR.1	2	4	3	2	4	2	2	2	2	4	0	2	4	4	2	5	5	NA	2	2	0	2	2	2	4	2	2	3	2	2	5	NA
VD	4	3	1	2	0	0	2	NA	NA	NA	NA	4	NA	0	4	NA	3	0	4	2	2	2	2	2	3	NA	2	5	2	NA	3	NA
VD.1	4	3	1	2	0	0	NA	2	0	0	2	4	3	0	4	3	3	NA	4	2	2	2	2	2	3	2	2	5	2	0	3	0
