ID	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
BA	-0.0423	0.1103	-0.2415	-0.0532	-0.4077	-0.2818	-0.4154	0.4622	-0.0187	NA	0.0238	-0.2065	0.202	0.0497	0.1082	-0.0966	0.0732	NA	-0.3034	-0.0889	-0.1291	0.0088	-0.0633	-0.1875	-0.1136	-0.1875	-0.1869	-0.0416	0.2339	0.1982	-0.184	NA
BA.1	-0.0423	0.1103	-0.2415	-0.0532	-0.4077	-0.2818	NA	0.4622	-0.0187	-0.2549	0.0238	NA	0.202	0.0497	0.1082	-0.0966	0.0732	NA	-0.3034	-0.0889	-0.1291	0.0088	-0.0633	-0.1875	-0.1136	-0.1875	-0.1869	-0.0416	0.2339	0.1982	-0.184	-0.1876
BR	-9e-4	-0.2712	-0.1673	0.0879	-0.0099	0.1991	0.0425	NA	-0.1834	NA	NA	0	NA	0.2658	-0.0287	0.1664	0.0454	-0.1546	0.0458	-0.2295	-0.0773	0.0922	-0.0281	-0.1738	-0.1641	NA	0.0817	-0.155	-0.1185	NA	0.0326	NA
BR.1	-9e-4	-0.2712	-0.1673	0.0879	-0.0099	0.1991	0.0425	0.0653	-0.1834	-0.3282	-0.251	0	-0.0719	0.2658	-0.0287	0.1664	0.0454	NA	0.0458	-0.2295	-0.0773	0.0922	-0.0281	-0.1738	-0.1641	-0.1228	0.0817	-0.155	-0.1185	-0.0924	0.0326	NA
DB	0.1562	-0.1748	0.1241	0.0091	-0.2379	-0.0921	0.4787	NA	NA	NA	NA	0.0772	NA	-0.2324	0.0469	NA	-0.2084	-0.1532	0.4339	0.1229	-0.1769	-0.1147	-0.0113	-0.3517	-0.2806	NA	-0.2336	-0.1537	-0.2233	NA	-0.0549	NA
DB.1	0.1562	-0.1748	0.1241	0.0091	-0.2379	-0.0921	NA	-0.1831	-0.0733	-0.1268	-0.0916	0.0772	-0.2114	-0.2324	0.0469	-0.2178	-0.2084	NA	0.4339	0.1229	-0.1769	-0.1147	-0.0113	-0.3517	-0.2806	-0.1754	-0.2336	-0.1537	-0.2233	-0.1366	-0.0549	0.0106
FE	-0.0396	0.1601	0.1233	0.2416	-0.0902	0.0796	-0.1014	NA	NA	NA	NA	-0.2496	NA	0.1029	-0.1784	NA	0.0698	0.2103	0.2274	-0.1876	-0.0657	-0.1157	-0.012	-0.0588	0.1261	NA	0.1768	0.134	-0.113	NA	-0.1732	NA
FE.1	-0.0396	0.1601	0.1233	0.2416	-0.0902	0.0796	-0.1014	-0.1841	0.5477	NA	NA	-0.2496	-0.0103	0.1029	-0.1784	-0.1346	0.0698	NA	0.2274	-0.1876	-0.0657	-0.1157	-0.012	-0.0588	0.1261	NA	0.1768	0.134	-0.113	NA	-0.1732	NA
FE.2	-0.0396	0.1601	0.1233	0.2416	-0.0902	0.0796	NA	-0.1841	0.5477	0.4361	-0.2075	-0.2496	-0.0103	0.1029	-0.1784	-0.1346	0.0698	NA	0.2274	-0.1876	-0.0657	-0.1157	-0.012	-0.0588	0.1261	0.4118	0.1768	0.134	-0.113	0.1875	-0.1732	-0.2379
GA	-0.1268	0.0603	0.0754	-0.2308	-0.1979	-0.2157	-0.1219	NA	NA	NA	NA	0.5184	NA	-0.2379	0.0585	NA	-0.2993	-0.2221	-0.0563	0.0795	0.1084	0.1888	0.0913	-0.0331	-0.1269	NA	-0.1359	-0.0671	0.0653	NA	0.0209	NA
