rel	dyad_type
0.307	Parent-Offspring
0.4799	Parent-Offspring
0.4082	Parent-Offspring
0.4696	Parent-Offspring
0.6139	Parent-Offspring
0.3701	Parent-Offspring
0.3361	Parent-Offspring
0.6615	Parent-Offspring
0.5274	Parent-Offspring
0.5652	Parent-Offspring
0.5429	Parent-Offspring
0.5433	Parent-Offspring
0.4139	Parent-Offspring
0.7236	Parent-Offspring
0.5418	Parent-Offspring
0.4439	Parent-Offspring
0.6902	Parent-Offspring
0.6727	Parent-Offspring
0.4918	Parent-Offspring
0.4155	Parent-Offspring
0.4243	Parent-Offspring
0.5201	Parent-Offspring
0.4828	Parent-Offspring
0.6444	Parent-Offspring
0.4784	Parent-Offspring
0.5747	Parent-Offspring
0.5338	Parent-Offspring
0.6065	Parent-Offspring
0.3943	Parent-Offspring
0.6235	Parent-Offspring
0.5502	Parent-Offspring
0.5339	Parent-Offspring
0.6319	Parent-Offspring
0.6417	Parent-Offspring
0.4343	Parent-Offspring
0.5617	Parent-Offspring
0.635	Parent-Offspring
0.4638	Parent-Offspring
0.5864	Parent-Offspring
0.2135	Parent-Offspring
0.351	Parent-Offspring
0.4774	Parent-Offspring
0.4049	Parent-Offspring
0.7701	Parent-Offspring
0.4206	Parent-Offspring
0.4672	Parent-Offspring
0.5514	Parent-Offspring
0.2413	Parent-Offspring
0.6309	Parent-Offspring
0.4244	Parent-Offspring
0.6722	Parent-Offspring
0.6724	Parent-Offspring
0.4332	Parent-Offspring
0.6109	Parent-Offspring
0.3962	Parent-Offspring
0.4216	Parent-Offspring
0.4411	Parent-Offspring
0.373	Parent-Offspring
0.7177	Parent-Offspring
0.4364	Parent-Offspring
0.6125	Parent-Offspring
0.7618	Parent-Offspring
0.5867	Parent-Offspring
0.478	Parent-Offspring
0.4975	Parent-Offspring
0.128	Parent-Offspring
0.6566	Parent-Offspring
0.626	Parent-Offspring
0.6297	Parent-Offspring
0.5907	Parent-Offspring
0.5108	Parent-Offspring
0.5704	Parent-Offspring
0.5285	Parent-Offspring
0.6167	Parent-Offspring
0.5526	Parent-Offspring
0.689	Parent-Offspring
0.3474	Parent-Offspring
0.6387	Parent-Offspring
0.6031	Parent-Offspring
0.5754	Parent-Offspring
0.4161	Parent-Offspring
0.4815	Parent-Offspring
0.4292	Parent-Offspring
0.596	Parent-Offspring
0.5388	Parent-Offspring
0.3923	Parent-Offspring
0.5122	Parent-Offspring
0.5859	Parent-Offspring
0.3839	Parent-Offspring
0.5182	Parent-Offspring
0.534	Parent-Offspring
0.578	Parent-Offspring
0.547	Parent-Offspring
0.4822	Parent-Offspring
0.5576	Parent-Offspring
0.4326	Parent-Offspring
0.5886	Parent-Offspring
0.506	Parent-Offspring
0.6012	Parent-Offspring
0.4457	Parent-Offspring
0.3841	Full Siblings
0.5743	Full Siblings
0.8462	Full Siblings
0.5531	Full Siblings
0.6666	Full Siblings
0.3472	Full Siblings
0.2852	Full Siblings
0.3106	Full Siblings
0.6056	Full Siblings
0.0558	Full Siblings
0.7765	Full Siblings
0.4271	Full Siblings
0.2878	Full Siblings
0.5855	Full Siblings
0.7504	Full Siblings
0.2818	Full Siblings
0.5855	Full Siblings
0.4098	Full Siblings
0.6493	Full Siblings
0.6952	Full Siblings
0.5789	Full Siblings
0.7875	Full Siblings
0.5207	Full Siblings
0.6768	Full Siblings
0.589	Full Siblings
0.3666	Full Siblings
0.6421	Full Siblings
0.6733	Full Siblings
0.2415	Full Siblings
0.4906	Full Siblings
0.5385	Full Siblings
0.6481	Full Siblings
0.634	Full Siblings
0.6036	Full Siblings
0.3888	Full Siblings
0.5424	Full Siblings
0.3692	Full Siblings
0.4051	Full Siblings
0.3044	Full Siblings
0.4799	Full Siblings
0.389	Full Siblings
0.4386	Full Siblings
0.3506	Full Siblings
0.2919	Full Siblings
0.5959	Full Siblings
0.2104	Full Siblings
0.5984	Full Siblings
0.3339	Full Siblings
0.4616	Full Siblings
0.5385	Full Siblings
0.5998	Full Siblings
