rel	dyad_type
0.7512	Parent-Offspring
0.5245	Parent-Offspring
0.3719	Parent-Offspring
0.4428	Parent-Offspring
0.6551	Parent-Offspring
0.5303	Parent-Offspring
0.4037	Parent-Offspring
0.5057	Parent-Offspring
0.6594	Parent-Offspring
0.4325	Parent-Offspring
0.6727	Parent-Offspring
0.5534	Parent-Offspring
0.3267	Parent-Offspring
0.624	Parent-Offspring
0.553	Parent-Offspring
0.4852	Parent-Offspring
0.5677	Parent-Offspring
0.5109	Parent-Offspring
0.5706	Parent-Offspring
0.5054	Parent-Offspring
0.2945	Parent-Offspring
0.584	Parent-Offspring
0.5836	Parent-Offspring
0.6736	Parent-Offspring
0.5741	Parent-Offspring
0.5592	Parent-Offspring
0.6848	Parent-Offspring
0.4093	Parent-Offspring
0.6	Parent-Offspring
0.498	Parent-Offspring
0.5437	Parent-Offspring
0.5141	Parent-Offspring
0.5377	Parent-Offspring
0.6918	Parent-Offspring
0.4222	Parent-Offspring
0.3227	Parent-Offspring
0.4283	Parent-Offspring
0.5462	Parent-Offspring
0.601	Parent-Offspring
0.538	Parent-Offspring
0.3816	Parent-Offspring
0.4871	Parent-Offspring
0.475	Parent-Offspring
0.6209	Parent-Offspring
0.3726	Parent-Offspring
0.4387	Parent-Offspring
0.5305	Parent-Offspring
0.6695	Parent-Offspring
0.5594	Parent-Offspring
0.673	Parent-Offspring
0.3443	Parent-Offspring
0.6733	Parent-Offspring
0.4284	Parent-Offspring
0.5828	Parent-Offspring
0.6571	Parent-Offspring
0.4353	Parent-Offspring
0.6347	Parent-Offspring
0.5783	Parent-Offspring
0.4661	Parent-Offspring
0.4726	Parent-Offspring
0.4181	Parent-Offspring
0.474	Parent-Offspring
0.5302	Parent-Offspring
0.7988	Parent-Offspring
0.6663	Parent-Offspring
0.3947	Parent-Offspring
0.6555	Parent-Offspring
0.4168	Parent-Offspring
0.722	Parent-Offspring
0.3143	Parent-Offspring
0.5039	Parent-Offspring
0.5729	Parent-Offspring
0.4223	Parent-Offspring
0.2857	Parent-Offspring
0.4973	Parent-Offspring
0.4882	Parent-Offspring
0.5045	Parent-Offspring
0.5804	Parent-Offspring
0.5733	Parent-Offspring
0.4516	Parent-Offspring
0.2135	Parent-Offspring
0.4824	Parent-Offspring
0.4952	Parent-Offspring
0.4649	Parent-Offspring
0.6194	Parent-Offspring
0.4414	Parent-Offspring
0.4821	Parent-Offspring
0.5093	Parent-Offspring
0.5371	Parent-Offspring
0.2569	Parent-Offspring
0.5289	Parent-Offspring
0.3739	Parent-Offspring
0.4803	Parent-Offspring
0.3199	Parent-Offspring
0.6297	Parent-Offspring
0.5272	Parent-Offspring
0.4338	Parent-Offspring
0.5983	Parent-Offspring
0.4763	Parent-Offspring
0.3659	Parent-Offspring
0.6207	Full Siblings
0.4814	Full Siblings
0.4036	Full Siblings
0.2873	Full Siblings
0.5881	Full Siblings
0.427	Full Siblings
0.5491	Full Siblings
0.4022	Full Siblings
0.3403	Full Siblings
0.7078	Full Siblings
0.6545	Full Siblings
0.4051	Full Siblings
0.5071	Full Siblings
0.7375	Full Siblings
0.5504	Full Siblings
0.6185	Full Siblings
0.1292	Full Siblings
0.6798	Full Siblings
0.5915	Full Siblings
0.4935	Full Siblings
0.2923	Full Siblings
0.3908	Full Siblings
0.2866	Full Siblings
0.4139	Full Siblings
0.4971	Full Siblings
0.1772	Full Siblings
0.4845	Full Siblings
0.4664	Full Siblings
0.3619	Full Siblings
0.6394	Full Siblings
0.3782	Full Siblings
0.5048	Full Siblings
0.2936	Full Siblings
0.5913	Full Siblings
0.5681	Full Siblings
0.4604	Full Siblings
0.5353	Full Siblings
0.5264	Full Siblings
0.2141	Full Siblings
0.5903	Full Siblings
0.1221	Full Siblings
0.7206	Full Siblings
0.3802	Full Siblings
0.4202	Full Siblings
0.4862	Full Siblings
0.5446	Full Siblings
0.5101	Full Siblings
0.3565	Full Siblings
0.4415	Full Siblings
0.4387	Full Siblings
0.4623	Full Siblings
0.6747	Full Siblings
0.3278	Full Siblings
0.562	Full Siblings
0.4553	Full Siblings
0.4291	Full Siblings
0.5097	Full Siblings
0.3606	Full Siblings
0.4412	Full Siblings
0.5266	Full Siblings
0.4447	Full Siblings
0.6712	Full Siblings
0.3869	Full Siblings
0.3864	Full Siblings
0.4366	Full Siblings
0.3029	Full Siblings
0.4018	Full Siblings
0.3068	Full Siblings
0.4538	Full Siblings
0.5221	Full Siblings
0.6334	Full Siblings
0.6701	Full Siblings
0.4612	Full Siblings
0.4908	Full Siblings
0.4453	Full Siblings
0.5981	Full Siblings
0.7021	Full Siblings
0.4823	Full Siblings
0.5919	Full Siblings
0.4714	Full Siblings
0.362	Full Siblings
0.4883	Full Siblings
0.6089	Full Siblings
0.3768	Full Siblings
0.5743	Full Siblings
0.7644	Full Siblings
0.3281	Full Siblings
0.6726	Full Siblings
0.4236	Full Siblings
0.2173	Full Siblings
-0.0461	Full Siblings
0.4447	Full Siblings
0.6195	Full Siblings
0.3304	Full Siblings
0.2375	Full Siblings
0.5876	Full Siblings
0.7004	Full Siblings
0.4213	Full Siblings
0.5431	Full Siblings
0.5616	Full Siblings
0.2237	Half Siblings
0.1895	Half Siblings
0.21	Half Siblings
0.2759	Half Siblings
0.3473	Half Siblings
0.2865	Half Siblings
0.4968	Half Siblings
0.1957	Half Siblings
0.2217	Half Siblings
-0.0517	Half Siblings
0.3971	Half Siblings
0.3628	Half Siblings
0.222	Half Siblings
0.0582	Half Siblings
0.2108	Half Siblings
0.1239	Half Siblings
0.3209	Half Siblings
0.1973	Half Siblings
0.1455	Half Siblings
0.2574	Half Siblings
0.4846	Half Siblings
0.3633	Half Siblings
0.2431	Half Siblings
0.3136	Half Siblings
0.0714	Half Siblings
0.4275	Half Siblings
0.1626	Half Siblings
0.1094	Half Siblings
0.2933	Half Siblings
0.0515	Half Siblings
0.328	Half Siblings
0.172	Half Siblings
0.256	Half Siblings
0.3197	Half Siblings
0.1934	Half Siblings
0.1977	Half Siblings
0.16	Half Siblings
0.1678	Half Siblings
0.1554	Half Siblings
0.1974	Half Siblings
0.2771	Half Siblings
0.4442	Half Siblings
0.1478	Half Siblings
0.6284	Half Siblings
0.2536	Half Siblings
0.0729	Half Siblings
